#systematic_name	gene_name	transcript_clusters
NA	RUNX1T1	TC08001413.hg.1,TC08002420.hg.1
NA	SOD1	TC21000111.hg.1
NA	IKBKB	TC08000325.hg.1,TC08001896.hg.1
NA	MSLN	TC16000022.hg.1,TC16001373.hg.1
NA	PTPRU	TC01000398.hg.1
NA	HPSE	TC04001347.hg.1
NA	AGTR1	TC03000798.hg.1
NA	ANXA1	TC09000335.hg.1
NA	PTK2B	TC08001850.hg.1,TC08000207.hg.1
NA	PELP1	TC17001028.hg.1
NA	CADM1	TC11002316.hg.1
NA	RRAS2	TC11001442.hg.1
NA	AKT3	TC01004040.hg.1,TC01006240.hg.1
NA	LZTS1	TC08001025.hg.1
NA	LRP6	TC12002769.hg.1,TC12001251.hg.1
NA	LRP1	TC12000521.hg.1,TC12002395.hg.1,TC12002396.hg.1
NA	BCAS1	TC20000960.hg.1
NA	BSG	TC19000009.hg.1
NA	DEC1	TC09000588.hg.1
NA	CLDN7	TC17001083.hg.1
NA	WNT8B	TC10000723.hg.1
NA	CDC25A	TC03001374.hg.1
NA	S100A6	TC01003264.hg.1
NA	PRLR	TC05001261.hg.1,TC05002950.hg.1
NA	POU5F1	TC6_cox_hap2000153.hg.1,TC6_ssto_hap7000043.hg.1,TC06003322.hg.1,TC06003316.hg.1,TC6_cox_hap2000056.hg.1,TC06001521.hg.1,TC6_mcf_hap5000044.hg.1,TC6_mcf_hap5000130.hg.1,TC6_qbl_hap6000050.hg.1,TC6_qbl_hap6000143.hg.1,TC06000359.hg.1,TC6_dbb_hap3000049.hg.1,TC6_qbl_hap6000049.hg.1,TC6_dbb_hap3000142.hg.1,TC6_mann_hap4000050.hg.1,TC6_mann_hap4000130.hg.1,TC06003584.hg.1,TC6_cox_hap2000057.hg.1,TC6_ssto_hap7000044.hg.1,TC6_ssto_hap7000125.hg.1,TC6_mann_hap4000051.hg.1,TC6_dbb_hap3000050.hg.1,TC06003334.hg.1,TC06003317.hg.1,TC6_mcf_hap5000043.hg.1,TC06003324.hg.1,TC06003320.hg.1,TC06000360.hg.1
NA	ABCC2	TC10000715.hg.1
NA	KITLG	TC12001792.hg.1
NA	MIR145	TC05000821.hg.1
NA	MIR34A	TC01002181.hg.1
NA	TUBB3	TC16000708.hg.1,TC16001720.hg.1
NA	HBEGF	TC05001854.hg.1
NA	F5	TC01003498.hg.1
NA	SMARCB1	TC22000139.hg.1
NA	PRKAR1A	TC17000804.hg.1,TC17002330.hg.1,TC17002331.hg.1
NA	IL1A	TC02002218.hg.1
NA	ITGAV	TC02001100.hg.1
NA	PTPN11	TC12000881.hg.1,TC12002571.hg.1
NA	IL3	TC05000628.hg.1
NA	BAP1	TC03001453.hg.1,TC03002916.hg.1
NA	MMP3	TC11003313.hg.1,TC11002235.hg.1
NA	DKK1	TC10000350.hg.1
NA	WNT7A	TC03001192.hg.1
NA	ABCA1	TC09001434.hg.1
NA	CYP2C9	TC10000675.hg.1
NA	F3	TC01002886.hg.1
NA	MIR146A	TC05000897.hg.1
NA	MUCL1	TC12000471.hg.1
NA	HDC	TC15001348.hg.1
NA	STMN1	TC01002383.hg.1,TC01005350.hg.1
NA	MAPRE1	TC20000216.hg.1
NA	ARAF	TC0X000237.hg.1
NA	SETD2	TC03001364.hg.1
NA	XBP1	TC22000627.hg.1
NA	SLC45A3	
NA	CCL2	TC17000383.hg.1
NA	NR1H2	TC19000756.hg.1
NA	MAPK10	TC04002620.hg.1,TC04001357.hg.1
NA	MST1R	TC03001421.hg.1
NA	LIG1	TC19001676.hg.1
NA	DDIT3	TC12001625.hg.1
NA	APOE	TC19002512.hg.1,TC19000633.hg.1
NA	MTDH	TC08002029.hg.1,TC08000594.hg.1
NA	SELENBP1	TC01003226.hg.1
NA	CDH13	TC16000647.hg.1
NA	FGF1	TC05003282.hg.1,TC05001883.hg.1
NA	ADCY8	TC08001646.hg.1
NA	KRT1	TC12001532.hg.1
NA	SDHB	TC01002286.hg.1
NA	NTHL1	TC16000772.hg.1
NA	IL17A	TC06000652.hg.1
NA	RAD23B	TC09000545.hg.1
NA	VIP	TC06001110.hg.1
NA	CSF1R	TC05001932.hg.1,TC05003302.hg.1
NA	FOXP3	TC0X001031.hg.1
NA	IL24	TC01001730.hg.1
NA	HMOX1	TC22000259.hg.1,TC22001089.hg.1
NA	EIF4EBP1	TC08000281.hg.1
NA	S100A8	TC01003261.hg.1
NA	PUF60	TC08001733.hg.1
NA	IQGAP1	TC15000864.hg.1,TC15000865.hg.1
NA	TLR3	TC04000912.hg.1,TC04002368.hg.1
NA	MAGEA1	TC0X001511.hg.1,TC0X002282.hg.1
NA	PKHD1	TC06001796.hg.1
NA	PLK4	TC04000645.hg.1
NA	USP28	TC11002307.hg.1
NA	NUDT1	TC07000029.hg.1
NA	WNT10B	TC12001464.hg.1
NA	PTP4A3	TC08000798.hg.1
NA	CCND3	TC06001727.hg.1
NA	EPAS1	TC02000281.hg.1
NA	BAK1	TC06001588.hg.1
NA	UHRF1	TC19000097.hg.1,TC19001075.hg.1
NA	FANCD2	TC03000051.hg.1
NA	ADAM19	TC05001986.hg.1
NA	DNMT3A	TC02001658.hg.1
NA	STAT5A	TC17000523.hg.1
NA	NOS3	TC07001009.hg.1
NA	MT-CYB	
NA	DIABLO	TC12003130.hg.1,TC12003286.hg.1
NA	MAGEA3	TC0X001505.hg.1
NA	KISS1	TC01003727.hg.1
NA	TTN	TC02003717.hg.1,TC02005047.hg.1,TC02004724.hg.1,TC02003719.hg.1
NA	FGFBP1	TC04001058.hg.1
NA	CD274	TC09000037.hg.1
NA	CBL	TC11002905.hg.1,TC11001089.hg.1
NA	YAP1	TC11000954.hg.1
NA	CD24	TC0Y000182.hg.1
NA	TSC1	TC09001678.hg.1
NA	GATA3	TC10000070.hg.1
NA	CD109	TC06000737.hg.1
NA	PIM2	TC0X001020.hg.1
NA	PRKDC	TC08001191.hg.1
NA	ITGA6	TC02001030.hg.1
NA	TCF7L1	TC02000502.hg.1
NA	PALLD	TC04000839.hg.1,TC04002311.hg.1
NA	NAMPT	TC07001738.hg.1
NA	SLC16A7	TC12000551.hg.1
NA	SQSTM1	TC05001053.hg.1
NA	CDC25B	TC20000040.hg.1
NA	C8orf4	TC08000310.hg.1
NA	ZNF217	TC20000956.hg.1
NA	RALGDS	TC09002922.hg.1
NA	KLK6	TC19001764.hg.1
NA	SLC10A2	TC13000856.hg.1
NA	ALDH1L1	TC03001733.hg.1
NA	ITGB3	TC17002878.hg.1
NA	KL	TC13000113.hg.1
NA	PRKCD	TC03000348.hg.1,TC03002349.hg.1
NA	CD164	TC06002000.hg.1
NA	CCNG1	TC05000906.hg.1
NA	PARK2	TC06002286.hg.1
NA	EPHA7	TC06001952.hg.1
NA	AXL	TC19000576.hg.1
NA	TKT	TC03001466.hg.1
NA	EPO	TC07000632.hg.1
NA	WNT11	TC11002107.hg.1
NA	FAP	TC02002480.hg.1
NA	GPC3	TC0X001378.hg.1
NA	FOXM1	TC12001106.hg.1
NA	RHOC	TC01006275.hg.1
NA	NFE2L2	TC02005045.hg.1
NA	ZKSCAN3	TC06000283.hg.1
NA	KDM5B	TC01003706.hg.1
NA	PRDM2	TC01000182.hg.1
NA	MMP12	TC11002237.hg.1
NA	ANGPT2	TC08000902.hg.1
NA	SFN	TC01000353.hg.1
NA	AKAP9	TC07000545.hg.1
NA	AZGP1	TC07001652.hg.1
NA	ROBO1	TC03001570.hg.1
NA	GSN	TC09000608.hg.1
NA	TNFRSF11B	TC08001552.hg.1
NA	BCL2L11	TC02000695.hg.1,TC02000696.hg.1
NA	COL4A6	TC0X001821.hg.1,TC0X001267.hg.1
NA	CYP3A5	TC07003079.hg.1,TC07003299.hg.1
NA	MIR200C	TC12000103.hg.1
NA	PAX6	TC11001528.hg.1
NA	XPA	TC09002693.hg.1,TC09001397.hg.1
NA	BCR	TC22001012.hg.1,TC22000537.hg.1,TC22001011.hg.1,TC22001014.hg.1,TC22000129.hg.1,TC22000113.hg.1
NA	EYA4	TC06003060.hg.1,TC06003061.hg.1,TC06000999.hg.1
NA	MTAP	TC09002880.hg.1,TC09000105.hg.1
NA	CCR7	TC17001466.hg.1
NA	SPDEF	TC06001658.hg.1
NA	CSMD3	TC08001538.hg.1
NA	CDC25C	TC05001829.hg.1,TC05003257.hg.1
NA	S100A9	TC01001254.hg.1
NA	CDKN1C	TC11003009.hg.1,TC11001284.hg.1
NA	BBC3	TC19001661.hg.1
NA	ALOX5	TC10000293.hg.1
NA	CDK8	TC13000974.hg.1,TC13000068.hg.1
NA	GDNF	TC05001280.hg.1,TC05002960.hg.1,TC05002961.hg.1
NA	PML	TC15000671.hg.1,TC15002275.hg.1
NA	GGT1	TC22001026.hg.1,TC22001460.hg.1
NA	NEU1	TC6_ssto_hap7000144.hg.1,TC6_dbb_hap3000164.hg.1,TC6_cox_hap2000175.hg.1,TC06001548.hg.1,TC6_mcf_hap5000150.hg.1,TC6_apd_hap1000089.hg.1,TC6_qbl_hap6000165.hg.1,TC6_mann_hap4000146.hg.1
NA	KIAA1524	TC03001632.hg.1
NA	REG4	TC01003051.hg.1
NA	TNS4	TC17001465.hg.1
NA	MYCL	TC01002551.hg.1
NA	GADD45A	TC01000745.hg.1
NA	NR3C1	TC05001887.hg.1
NA	EIF4E	TC04001403.hg.1
NA	LIG3	TC17000391.hg.1
NA	LEPR	TC01000730.hg.1
NA	MIR143	TC05000821.hg.1
NA	NANOG	TC12000114.hg.1
NA	TEK	TC09000121.hg.1
NA	IRS2	TC13000871.hg.1
NA	FEN1	TC11000541.hg.1
NA	SLCO1B3	TC12002282.hg.1
NA	MINPP1	TC10000619.hg.1
NA	MTHFD1	TC14002045.hg.1,TC14000388.hg.1
NA	PDGFD	TC11002242.hg.1
NA	HFE	TC06000165.hg.1,TC06003538.hg.1,TC06002643.hg.1
NA	LDHA	TC11000240.hg.1,TC11002588.hg.1
NA	SOS2	TC14001116.hg.1
NA	GHRHR	TC07000200.hg.1
NA	SAT1	TC0X001624.hg.1,TC0X000112.hg.1
NA	P2RX7	TC12000955.hg.1,TC12002617.hg.1
NA	TPBG	TC06000766.hg.1
NA	APOB	TC02004093.hg.1,TC02004094.hg.1,TC02004095.hg.1,TC02001628.hg.1
NA	ENO1	TC01002175.hg.1
NA	PROS1	TC03001590.hg.1
NA	PEBP1	TC12000926.hg.1
NA	PLCE1	TC10000670.hg.1
NA	PTPRD	TC09000906.hg.1
NA	SOX9	TC17000819.hg.1
NA	ESRRA	TC11000596.hg.1
NA	VTI1A	TC10000814.hg.1
NA	LGR5	TC12000624.hg.1
NA	ANXA2	TC15001505.hg.1,TC09000149.hg.1
NA	PHOX2B	TC04002525.hg.1,TC04001146.hg.1
NA	HLA-DRB1	TC6_ssto_hap7000163.hg.1,TC6_ssto_hap7000164.hg.1,TC6_qbl_hap6000182.hg.1,TC6_mann_hap4000158.hg.1,TC6_mcf_hap5000168.hg.1,TC6_ssto_hap7000162.hg.1,TC06003418.hg.1,TC06003405.hg.1,TC6_apd_hap1000101.hg.1,TC6_cox_hap2000193.hg.1,TC06004123.hg.1,TC6_dbb_hap3000180.hg.1
NA	RXRA	TC09000782.hg.1
NA	SPARC	TC05001955.hg.1,TC05003313.hg.1
NA	RHEB	TC07002040.hg.1
NA	ARL11	TC13000200.hg.1
NA	LAMC1	TC01001583.hg.1
NA	WNT5B	TC12000017.hg.1
NA	IGF2BP3	TC07001194.hg.1
NA	DNAH8	TC06000556.hg.1
NA	HLA-A	TC6_ssto_hap7000020.hg.1,TC6_dbb_hap3000213.hg.1,TC6_mann_hap4000022.hg.1,TC06000328.hg.1,TC6_qbl_hap6000218.hg.1,TC06002378.hg.1,TC06003279.hg.1,TC6_cox_hap2000026.hg.1,TC6_mcf_hap5000206.hg.1,TC06002386.hg.1,TC6_apd_hap1000019.hg.1
NA	SMTN	TC22000222.hg.1,TC22000221.hg.1
NA	BID	TC22000476.hg.1
NA	ACSL5	TC10000813.hg.1
NA	CBFA2T3	TC16001347.hg.1
NA	PIN1	TC19001974.hg.1,TC19000165.hg.1
NA	MAP2K5	TC15000625.hg.1
NA	RASSF2	TC20000587.hg.1
NA	ITGA3	TC17000654.hg.1
NA	HSD17B1	TC17000528.hg.1,TC17002639.hg.1,TC17001535.hg.1
NA	WNT3	TC17001615.hg.1
NA	EDNRA	TC04000729.hg.1,TC04002255.hg.1
NA	HK2	TC02003344.hg.1,TC02000466.hg.1
NA	LYVE1	TC11001415.hg.1
NA	CDH2	TC18000433.hg.1
NA	PDPN	TC01000181.hg.1
NA	FZD3	TC08000220.hg.1
NA	ARRB1	TC11002092.hg.1
NA	ADAMTS15	TC11001197.hg.1
NA	SERPINB3	TC18001005.hg.1
NA	CYR61	TC01000818.hg.1
NA	SLC19A1	TC21000549.hg.1
NA	LRRFIP2	TC03001286.hg.1
NA	CTSH	TC15002646.hg.1,TC15001713.hg.1
NA	ZNF304	TC19000939.hg.1
NA	BCL6	TC03002096.hg.1
NA	IFI27	TC14001821.hg.1,TC14000584.hg.1
NA	IL2RA	TC10001007.hg.1
NA	TERC	TC03001982.hg.1
NA	E2F2	TC01002345.hg.1
NA	FGF8	TC10001611.hg.1
NA	FGF7	TC15000386.hg.1
NA	KLK4	TC19002555.hg.1,TC19001761.hg.1
NA	ITGA5	TC12001571.hg.1
NA	MIR221	TC0X000985.hg.1
NA	WNT9A	TC01003908.hg.1
NA	IFNGR1	TC06002152.hg.1
NA	CYP2C19	TC10002971.hg.1
NA	TBX22	TC0X000429.hg.1
NA	CD36	TC07000509.hg.1
NA	ELAVL1	TC19001125.hg.1
NA	NR3C2	TC04001627.hg.1
NA	LOX	TC05001714.hg.1
NA	COX5A	TC15001652.hg.1
NA	FZD8	TC10001179.hg.1
NA	MMP13	TC11002239.hg.1
NA	INSR	TC19001111.hg.1
NA	TLR5	TC01003871.hg.1
NA	CDCP1	TC03001345.hg.1
NA	GJA1	TC06000945.hg.1
NA	PAK6	TC15000276.hg.1
NA	WIF1	TC12001681.hg.1
NA	EPHB4	TC07001677.hg.1
NA	LRP5	TC11000707.hg.1
NA	CABLES1	TC18000099.hg.1,TC18000867.hg.1,TC18000653.hg.1
NA	OPCML	TC11002462.hg.1
NA	CD34	TC01006074.hg.1,TC01003777.hg.1
NA	IFNB1	TC09000946.hg.1
NA	CGA	TC06002913.hg.1,TC06001926.hg.1
NA	DPP4	TC02002478.hg.1
NA	PSMA7	TC20001005.hg.1
NA	POLB	TC08000326.hg.1
NA	DACT1	TC14000353.hg.1
NA	OLFM4	TC13000228.hg.1
NA	SDHD	TC11001007.hg.1
NA	CLDN3	TC07001506.hg.1,TC07003020.hg.1
NA	ANXA10	TC04000836.hg.1
NA	KLRK1	TC12001222.hg.1
NA	NF2	TC22000199.hg.1,TC22001059.hg.1
NA	BACH1	TC21000097.hg.1,TC21000651.hg.1
NA	LIG4	TC13000867.hg.1
NA	IL4R	TC16000293.hg.1
NA	IRS4	TC0X001269.hg.1,TC0X002182.hg.1
NA	CLDN1	TC03002108.hg.1
NA	AKAP12	TC06001100.hg.1
NA	ATG5	TC06001982.hg.1
NA	INHA	TC02001332.hg.1
NA	MAP2K3	TC17002123.hg.1,TC17000297.hg.1
NA	CLCA1	TC01000822.hg.1
NA	EML4	TC02003185.hg.1,TC02000260.hg.1
NA	ANK2	TC04002146.hg.1,TC04000584.hg.1
NA	FZD6	TC08000645.hg.1
NA	FGF4	TC11002019.hg.1
NA	STUB1	TC16000026.hg.1
NA	SHMT1	TC17001201.hg.1,TC17002528.hg.1
NA	MIR155	TC21000076.hg.1
NA	CUBN	TC10001070.hg.1,TC10002485.hg.1
NA	ID1	TC20000194.hg.1
NA	RALBP1	TC18000046.hg.1
NA	RAD51D	TC17002587.hg.1,TC17002897.hg.1
NA	ALOX15	TC17001027.hg.1
NA	ADAM17	TC02001558.hg.1
NA	EVL	TC14000630.hg.1
NA	RAC3	TC17000944.hg.1
NA	MAP3K8	TC10000211.hg.1
NA	PTN	TC07001895.hg.1
NA	LAMC2	TC01001585.hg.1
NA	GCNT3	TC15000456.hg.1
NA	CD40	TC20000365.hg.1
NA	TLR7	TC0X000051.hg.1
NA	SDC1	TC02001619.hg.1
NA	ERCC3	TC02002278.hg.1
NA	SSTR2	TC17000821.hg.1
NA	CTSL	TC09002062.hg.1,TC09000400.hg.1
NA	PER2	TC02002914.hg.1
NA	LGALS1	TC22000285.hg.1
NA	TENM1	TC0X002222.hg.1,TC0X001347.hg.1
NA	PIM1	TC06000541.hg.1
NA	MTHFD1L	TC06001097.hg.1
NA	SULF1	TC08000456.hg.1
NA	ADCY2	TC05000054.hg.1,TC05000055.hg.1
NA	LIFR	TC05001289.hg.1
NA	ITGA2	TC05000218.hg.1
NA	TNFRSF6B	TC20000521.hg.1,TC20001358.hg.1
NA	HLA-G	TC06002370.hg.1,TC6_dbb_hap3000211.hg.1,TC6_mann_hap4000185.hg.1,TC6_cox_hap2000022.hg.1,TC6_ssto_hap7000218.hg.1,TC06002388.hg.1,TC6_qbl_hap6000017.hg.1,TC06002689.hg.1,TC06004065.hg.1,TC6_mcf_hap5000204.hg.1
NA	ROCK1	TC18000397.hg.1
NA	APPL1	TC03002354.hg.1,TC03000365.hg.1
NA	SLC9A3R1	TC17000834.hg.1
NA	CXCL1	TC04000411.hg.1
NA	FADD	TC11000723.hg.1
NA	NCOR1	TC17001171.hg.1
NA	IL18	TC11002293.hg.1
NA	NCAM1	TC11001015.hg.1
NA	AURKB	TC17001109.hg.1
NA	MIR126	TC09000818.hg.1
NA	MCRS1	TC12001478.hg.1
NA	B2M	TC16000319.hg.1,TC15000342.hg.1,TC15002179.hg.1
NA	ADAMTS18	TC16001288.hg.1
NA	CTGF	TC06002112.hg.1
NA	DMD	TC0X000147.hg.1,TC0X002024.hg.1,TC0X002026.hg.1,TC0X000943.hg.1,TC0X002025.hg.1
NA	HSPA4	TC05000649.hg.1
NA	XRCC6	TC22000339.hg.1
NA	PTPRC	TC01001640.hg.1
NA	LTA	TC6_ssto_hap7000053.hg.1,TC06000370.hg.1,TC6_qbl_hap6000057.hg.1,TC6_dbb_hap3000057.hg.1,TC6_mann_hap4000058.hg.1,TC6_mcf_hap5000052.hg.1,TC06002431.hg.1,TC06002713.hg.1,TC06002433.hg.1,TC06002441.hg.1,TC06002444.hg.1,TC06002448.hg.1,TC6_cox_hap2000066.hg.1
NA	PRKAA1	TC05001298.hg.1
NA	MIR31	TC09000963.hg.1
NA	CDH10	TC05001205.hg.1
NA	S100P	TC04000072.hg.1,TC04001883.hg.1
NA	FGF3	TC11002020.hg.1
NA	LCN2	TC09000677.hg.1
NA	POSTN	TC13000576.hg.1
NA	TNC	TC09001517.hg.1,TC09002760.hg.1
NA	BDNF	TC11001513.hg.1,TC11003090.hg.1
NA	RPL5	TC01000854.hg.1
NA	RPSA	TC19000404.hg.1,TC03000202.hg.1
NA	CAPN10	TC02005015.hg.1
NA	MCM2	TC03000664.hg.1
NA	PRKCB	TC16000260.hg.1
NA	SHC1	TC01006381.hg.1
NA	SOX4	TC06002615.hg.1,TC06000135.hg.1
NA	HDGF	TC01003353.hg.1
NA	ZBTB16	TC11001026.hg.1
NA	FOXH1	TC08001753.hg.1
NA	EDN1	TC06000087.hg.1,TC06003472.hg.1
NA	CHKA	TC11002002.hg.1
NA	CYP27B1	TC12001634.hg.1,TC12002920.hg.1
NA	ACE	TC17000766.hg.1
NA	MIR200B	TC01000027.hg.1
NA	NTRK2	TC09000388.hg.1
NA	SEMA4A	TC01001314.hg.1
NA	CCL5	TC17001378.hg.1
NA	PDPK1	TC16000077.hg.1,TC16000787.hg.1
NA	KEAP1	TC19001166.hg.1
NA	UNC5C	TC04001395.hg.1,TC04002636.hg.1
NA	ABCC3	TC17000673.hg.1,TC17000672.hg.1
NA	GNB4	TC03002038.hg.1
NA	MYO18B	TC22000166.hg.1
NA	FES	TC15000871.hg.1
NA	MBD2	TC18000521.hg.1
NA	CSF1	TC01000955.hg.1
NA	SUFU	TC10000759.hg.1
NA	TFRC	TC03002155.hg.1
NA	NODAL	TC10001365.hg.1
NA	NOTCH2	TC01003054.hg.1
NA	IFNGR2	TC21000934.hg.1,TC21000129.hg.1
NA	C2orf40	TC02000650.hg.1
NA	IL32	TC16000099.hg.1
NA	GJB2	TC13000456.hg.1
NA	UHRF2	TC09000047.hg.1
NA	PTPRR	TC12001719.hg.1,TC12002956.hg.1
NA	MT-CO2	
NA	CPE	TC04000829.hg.1
NA	CENPH	TC05000299.hg.1
NA	SYP	TC0X001029.hg.1
NA	CYP2C8	TC10001546.hg.1
NA	PREX2	TC08000452.hg.1
NA	TFG	TC03000512.hg.1
NA	ABCC4	TC13001638.hg.1,TC13000799.hg.1
NA	SPINT1	TC15000296.hg.1
NA	DNASE1L3	TC03001498.hg.1
NA	MIR203A	TC14000812.hg.1
NA	DKK3	TC11001425.hg.1
NA	MAP2	TC02001238.hg.1
NA	CDO1	TC05001693.hg.1
NA	QKI	TC06001165.hg.1
NA	TNFRSF1B	TC01000155.hg.1
NA	CD9	TC12000076.hg.1
NA	TNFSF13	TC17002865.hg.1
NA	GNB3	TC12000094.hg.1,TC12002206.hg.1
NA	ROR1	TC01000723.hg.1,TC01004449.hg.1
NA	RRM2	TC02000057.hg.1
NA	SLC5A8	TC12001873.hg.1
NA	WNK1	TC12002169.hg.1,TC12000012.hg.1,TC12000010.hg.1
NA	ACSL4	TC0X002337.hg.1
NA	FOLR1	TC11000754.hg.1,TC11002773.hg.1
NA	MIR29A	TC07001869.hg.1
NA	DKC1	TC0X000779.hg.1
NA	F2R	TC05000370.hg.1
NA	PRPS1	TC0X000526.hg.1
NA	RALA	TC07000250.hg.1
NA	ADIPOR1	TC01003711.hg.1
NA	PCAT1	TC08000745.hg.1,TC08000746.hg.1
NA	FOXE1	TC09000493.hg.1
NA	HSP90B1	TC12000803.hg.1
NA	IL12B	TC05001997.hg.1
NA	AIFM1	TC0X001358.hg.1
NA	NOTCH3	TC19001250.hg.1
NA	KLF10	TC08002455.hg.1,TC08001500.hg.1
NA	MALAT1	TC11000631.hg.1,TC11001933.hg.1,TC11002730.hg.1
NA	TCN2	TC22000215.hg.1
NA	F2	TC11002660.hg.1,TC11000401.hg.1
NA	VWA2	TC10000832.hg.1
NA	MIR125B1	TC11002382.hg.1
NA	NCOA2	TC08001310.hg.1
NA	TFAP2C	TC20000436.hg.1
NA	PPARA	TC22001153.hg.1,TC22000391.hg.1,TC22001155.hg.1,TC22001152.hg.1
NA	RERGL	TC12001290.hg.1
NA	HOPX	TC04001222.hg.1,TC04002559.hg.1
NA	GAB1	TC04000699.hg.1
NA	GNG7	TC19001032.hg.1
NA	ENPP2	TC08001557.hg.1,TC08001556.hg.1
NA	IGF2BP1	TC17002261.hg.1,TC17000636.hg.1
NA	FZD1	TC07000543.hg.1
NA	CCNB2	TC15000449.hg.1
NA	EPHA1	TC07001971.hg.1
NA	COL11A1	TC01002932.hg.1
NA	CSNK2A1	TC20001369.hg.1,TC20000542.hg.1,TC11001423.hg.1
NA	GRM1	TC06001063.hg.1
NA	ADAM29	TC04000863.hg.1
NA	ARID1A	TC01000349.hg.1
NA	MIR196A2	TC12000451.hg.1
NA	CXCR3	TC0X001128.hg.1
NA	ITGB4	TC17000861.hg.1
NA	MIR27A	TC19001224.hg.1
NA	ARHGEF1	TC19000589.hg.1
NA	HMGCR	TC05002454.hg.1,TC05000363.hg.1,TC05002453.hg.1
NA	ADORA3	TC01002986.hg.1
NA	TUBB	TC6_mcf_hap5000032.hg.1,TC6_dbb_hap3000038.hg.1,TC6_ssto_hap7000038.hg.1,TC6_mann_hap4000040.hg.1,TC6_cox_hap2000045.hg.1,TC6_qbl_hap6000038.hg.1,TC06000347.hg.1,TC6_apd_hap1000029.hg.1
NA	PGF	TC14001313.hg.1,TC14002090.hg.1
NA	COL3A1	TC02001105.hg.1,TC02003744.hg.1,TC02003743.hg.1
NA	PRKACB	TC01000808.hg.1,TC01004503.hg.1
NA	GATA4	TC08000089.hg.1
NA	AGK	TC07000889.hg.1
NA	CLDN4	TC07000447.hg.1
NA	CCNH	TC05001570.hg.1
NA	CCNA1	TC13000124.hg.1
NA	EFS	TC14000956.hg.1
NA	HRH1	TC03000064.hg.1
NA	FZD5	TC02002714.hg.1
NA	CAD	TC02000168.hg.1
NA	HMGA1	TC06000501.hg.1,TC06002746.hg.1
NA	NES	TC01003347.hg.1
NA	CBS	TC21000500.hg.1
NA	FOXO4	TC0X000381.hg.1
NA	MIR223	TC0X000356.hg.1
NA	NDRG2	TC14000908.hg.1
NA	PAX3	TC02002811.hg.1
NA	HNF1A	TC12000952.hg.1
NA	DPYSL2	TC08001847.hg.1,TC08000203.hg.1
NA	RBM39	TC20000805.hg.1,TC20001560.hg.1
NA	CDC73	TC01001626.hg.1
NA	SERPINA1	TC14001466.hg.1,TC14002135.hg.1
NA	MIR10B	TC02001054.hg.1
NA	PRDX2	TC19001210.hg.1
NA	RBL1	TC20000822.hg.1
NA	PPP2R4	TC09000709.hg.1
NA	MBL2	TC10001301.hg.1
NA	CXCR5	TC11001073.hg.1
NA	PODXL	TC07001874.hg.1
NA	EGLN3	TC14001022.hg.1
NA	IDH2	TC15001841.hg.1
NA	GH1	TC17002854.hg.1
NA	XDH	TC02001714.hg.1
NA	MED19	TC11001797.hg.1
NA	THBD	TC20001153.hg.1,TC20000702.hg.1
NA	MIR17	TC13000322.hg.1
NA	NTS	TC12000687.hg.1
NA	ABCB5	TC07000127.hg.1
NA	AKAP13	TC15000827.hg.1
NA	MAD2L1	TC04001507.hg.1
NA	PRDM5	TC04001508.hg.1,TC04002178.hg.1,TC04002696.hg.1
NA	CHD5	TC01002144.hg.1
NA	FGF6	TC12001121.hg.1,TC12001122.hg.1
NA	RHOB	TC02000116.hg.1
NA	KLK7	TC19001765.hg.1
NA	KRT24	TC17001468.hg.1
NA	BCAS2	TC01006365.hg.1
NA	CDH17	TC08001431.hg.1
NA	MDK	TC11000397.hg.1
NA	LAMB3	TC01003784.hg.1
NA	TF	TC03000723.hg.1
NA	MUC3B	TC07003085.hg.1
NA	CCR6	TC06004106.hg.1
NA	PLA2G4A	TC01001607.hg.1
NA	MIF	TC22001456.hg.1
NA	ALDOA	TC16000338.hg.1
NA	TFPI2	TC07003064.hg.1,TC07001611.hg.1
NA	ADA	TC20000868.hg.1
NA	PTP4A1	TC06002848.hg.1,TC06000697.hg.1
NA	FZD9	TC07000440.hg.1
NA	KRT10	TC17001472.hg.1
NA	PTPRS	TC19001076.hg.1,TC19002299.hg.1,TC19002300.hg.1
NA	MIR124-1	TC08000955.hg.1
NA	CLSTN2	TC03000754.hg.1
NA	NR1I2	TC03000613.hg.1
NA	RTN4	TC02001855.hg.1
NA	PRKCZ	TC01000054.hg.1
NA	SYK	TC09000428.hg.1
NA	NDUFA13	TC19000376.hg.1
NA	RASAL2	TC01001539.hg.1
NA	PLCG1	TC20000303.hg.1,TC20000304.hg.1
NA	TMPRSS4	TC11001059.hg.1
NA	LMO7	TC13000286.hg.1
NA	MKRN3	TC15000040.hg.1
NA	SETBP1	TC18000692.hg.1,TC18000160.hg.1
NA	LRRC3B	TC03000135.hg.1
NA	IDO1	TC08000305.hg.1
NA	CDK2AP1	TC12002085.hg.1
NA	HIPK2	TC07001915.hg.1,TC07003195.hg.1
NA	MCF2L2	TC03002055.hg.1
NA	WNT7B	TC22000880.hg.1
NA	PENK	TC08001234.hg.1
NA	RASGRF2	TC05000401.hg.1,TC05002478.hg.1
NA	UCA1	TC19000279.hg.1,TC19002012.hg.1
NA	MIR222	TC0X000986.hg.1
NA	EVC2	TC04000996.hg.1
NA	AGR2	TC07001163.hg.1
NA	IL15	TC04002235.hg.1,TC04000693.hg.1
NA	PLD2	TC17000053.hg.1
